"AppId","AppDisplayName","AppOwnerOrganizationId","Source"
"d8877f27-09c0-43aa-8113-40151dae8b14","Microsoft Intune AndroidSync","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"39e6ea5b-4aa4-4df2-808b-b6b5fb8ada6f","Dynamics Provision","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"33be1cef-03fb-444b-8fd3-08ca1b4d803f","OneDrive Web","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"7dcff627-a295-4553-9229-b1f3513f82a8","Power Platform Data Analytics","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"2f5afa01-cdcb-4707-a62a-0803cc994c60","MS-CE-CXG-MAC-AadShadowRoleWriter","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"507a7586-da5c-4e86-80f2-2bc2e55ae394","Surface Dashboard","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"ec245c98-4a90-40c2-955a-88b727d97151","Azure AD Identity Governance - Directory Management","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"d88a361a-d488-4271-a13f-a83df7dd99c2","IDML Graph Resolver Service and CAD","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"6a0ec4d3-30cb-4a83-91c0-ae56bc0e3d26","Azure Container Registry","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"47ee738b-3f1a-4fc7-ab11-37e4822b007e","Azure AD Application Proxy","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"dbcbd02a-d7c4-42fb-8c27-b07e5118b848","Azure Graph","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"e3335adb-5ca0-40dc-b8d3-bedc094e523b","SubscriptionRP","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0000000a-0000-0000-c000-000000000000","Microsoft Intune","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"4bfd5d66-9285-44a1-bb14-14953e8cdf5e","Audit GraphAPI Application","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"89d10474-74af-4874-99a7-c23c2f643083","Azure Iot Hub","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"c10f411a-874c-485c-9d66-6e0b34202c41","SEAL SNI","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0a5f63c0-b750-4f38-a71c-4fc0d58b89e2","Microsoft Mobile Application Management","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"d6037e40-282c-493d-8f63-f255e36c6ef4","Microsoft Dynamics 365 Supply Chain Visibility","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"257601fd-462f-4a21-b623-7f719f0f90f4","Centralized Deployment","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"c7d28c4f-0d2c-49d6-a88d-a275cc5473c7","AIRS","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"57fb890c-0dab-4253-a5e0-7188c88b2bb4","SharePoint Online Client","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"8f41dc7c-542c-4bdd-8eb3-e60543f607ca","Microsoft Device Directory Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"bf8eb16c-7ba7-4b47-86be-ac5e4b2007a5","Microsoft.CustomProviders RP","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0032593d-6a05-4847-8ca4-4b6220ed2a1e","Microsoft_Azure_ELMAdmin","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
